"Table with row headers in columns A and B, and column headers in rows 5 through 6.",,,,,,,,,,,,,,
"Table 4b.  Reported Voting and Registration, by Sex, Race and Hispanic Origin, for States: November 2020",,,,,,,,,,,,,,
(In thousands),,,,,,,,,,,,,,
,,,,,,,,,,,,,,
STATE,Race,Sex,Total population,Total citizen population,Registered,,,,,Voted,,,,
,,,,,Total registered,"Percent registered
(Total)",Margin of error 1,"Percent registered
(Citizen)",Margin of error 1,Total voted,"Percent voted
(Total)",Margin of error 1,"Percent voted
(Citizen)",Margin of error 1
,Unknown,Female,15556,13366,9452,60.8,1.6,70.7,1.6,8882,57.1,1.6,66.5,1.7
,White alone,Unknown,21941,18971,13508,61.6,1.4,71.2,1.4,12628,57.6,1.4,66.6,1.4
,White non-Hispanic alone,Unknown,12090,11685,9133,75.5,1.6,78.2,1.6,8711,72.1,1.7,74.6,1.7
,Black alone,Unknown,1947,1834,1249,64.1,4.3,68.1,4.3,1173,60.3,4.4,64,4.4
,Asian alone,Unknown,5072,3958,2491,49.1,2.8,62.9,3.1,2370,46.7,2.8,59.9,3.2
,Hispanic (of any race),Unknown,11165,8305,5014,44.9,2,60.4,2.3,4539,40.7,2,54.6,2.4
,White alone or in combination,Unknown,22586,19549,13924,61.6,1.3,71.2,1.3,13024,57.7,1.4,66.6,1.4
,Black alone or in combination,Unknown,2139,2021,1371,64.1,4.1,67.8,4.1,1295,60.5,4.2,64.1,4.2
,Asian alone or in combination,Unknown,5405,4250,2665,49.3,2.8,62.7,3,2529,46.8,2.8,59.5,3.1
COLORADO,Total,Unknown,4525,4200,2993,66.2,2.9,71.3,2.9,2837,62.7,3,67.6,3
,Unknown,Male,2254,2076,1452,64.4,4.2,70,4.2,1355,60.1,4.3,65.3,4.3
,Unknown,Female,2271,2124,1541,67.9,4.1,72.6,4,1482,65.3,4.1,69.8,4.1
,White alone,Unknown,4001,3751,2733,68.3,3,72.9,3,2606,65.1,3.1,69.5,3.1
,White non-Hispanic alone,Unknown,3267,3220,2396,73.3,3.2,74.4,3.2,2316,70.9,3.3,71.9,3.3
,Black alone,Unknown,186,181,102,54.5,14.4,56,14.6,96,51.6,14.5,53.1,14.7
,Asian alone,Unknown,152,115,57,37.7,16,49.9,19,50,32.7,15.5,43.2,18.8
,Hispanic (of any race),Unknown,854,618,374,43.8,7.4,60.5,8.5,315,37,7.2,51.1,8.7
,White alone or in combination,Unknown,4123,3858,2801,67.9,3,72.6,3,2658,64.5,3.1,68.9,3.1
