"Table with row headers in columns A and B, and column headers in rows 5 through 6.",,,,,,,,,,,,,,
"Table 4b.  Reported Voting and Registration, by Sex, Race and Hispanic Origin, for States: November 2020",,,,,,,,,,,,,,
(In thousands),,,,,,,,,,,,,,
,,,,,,,,,,,,,,
STATE,Race,Sex,Total population,Total citizen population,Registered,,,,,Voted,,,,
,,,,,Total registered,"Percent registered
(Total)",Margin of error 1,"Percent registered
(Citizen)",Margin of error 1,Total voted,"Percent voted
(Total)",Margin of error 1,"Percent voted
(Citizen)",Margin of error 1
,Hispanic (of any race),Unknown,11,11,7,B,B,B,B,7,B,B,B,B
,White alone or in combination,Unknown,1058,1053,818,77.3,3.2,77.7,3.2,752,71.1,3.5,71.4,3.5
,Black alone or in combination,Unknown,15,10,6,B,B,B,B,6,B,B,B,B
,Asian alone or in combination,Unknown,18,15,12,B,B,B,B,12,B,B,B,B
MARYLAND,Total,Unknown,4606,4303,3383,73.4,2.7,78.6,2.6,3166,68.7,2.9,73.6,2.8
,Unknown,Male,2199,2052,1517,69,4.1,73.9,4,1430,65,4.2,69.7,4.2
,Unknown,Female,2407,2251,1865,77.5,3.6,82.9,3.3,1737,72.2,3.8,77.2,3.7
,White alone,Unknown,2757,2650,2069,75,3.4,78.1,3.4,1917,69.5,3.7,72.3,3.6
,White non-Hispanic alone,Unknown,2487,2469,1934,77.8,3.5,78.3,3.5,1786,71.8,3.8,72.3,3.8
,Black alone,Unknown,1421,1289,1022,71.9,4.8,79.3,4.5,971,68.3,4.9,75.3,4.8
,Asian alone,Unknown,302,239,166,55,11.8,69.7,12.2,153,50.6,11.8,64.1,12.8
,Hispanic (of any race),Unknown,323,195,150,46.2,12.1,76.7,13.2,145,44.9,12.1,74.4,13.6
,White alone or in combination,Unknown,2840,2732,2151,75.7,3.4,78.7,3.3,1999,70.4,3.6,73.2,3.5
,Black alone or in combination,Unknown,1482,1350,1083,73.1,4.6,80.2,4.3,1032,69.6,4.8,76.4,4.6
,Asian alone or in combination,Unknown,337,273,201,59.7,11,73.5,11,187,55.6,11.1,68.6,11.5
MASSACHUSETTS,Total,Unknown,5514,4897,3546,64.3,2.6,72.4,2.6,3249,58.9,2.7,66.3,2.7
,Unknown,Male,2642,2311,1656,62.7,3.8,71.6,3.8,1505,57,3.9,65.1,4
,Unknown,Female,2872,2586,1891,65.8,3.6,73.1,3.5,1744,60.7,3.7,67.4,3.7
,White alone,Unknown,4429,4140,3174,71.7,2.8,76.7,2.7,2936,66.3,2.9,70.9,2.9
,White non-Hispanic alone,Unknown,3953,3799,2949,74.6,2.8,77.6,2.8,2749,69.6,3,72.4,3
,Black alone,Unknown,489,390,165,33.6,8.3,42.2,9.7,142,29,8,36.4,9.5
,Asian alone,Unknown,415,244,139,33.5,9.3,57.1,12.7,109,26.3,8.7,44.9,12.8
,Hispanic (of any race),Unknown,636,449,271,42.6,8.3,60.4,9.8,227,35.8,8.1,50.7,10
,White alone or in combination,Unknown,4597,4251,3233,70.3,2.7,76.1,2.7,2988,65,2.9,70.3,2.9
,Black alone or in combination,Unknown,640,484,211,32.9,7.2,43.5,8.8,181,28.3,6.9,37.4,8.5
,Asian alone or in combination,Unknown,433,262,157,36.3,9.3,60.1,12.1,128,29.4,8.8,48.7,12.4
MICHIGAN,Total,Unknown,7790,7467,5513,70.8,2.1,73.8,2.1,4994,64.1,2.2,66.9,2.2
,Unknown,Male,3795,3616,2648,69.8,3.1,73.2,3,2378,62.7,3.2,65.8,3.2
,Unknown,Female,3995,3851,2865,71.7,2.9,74.4,2.9,2616,65.5,3.1,67.9,3.1
,White alone,Unknown,6269,6118,4568,72.9,2.3,74.7,2.3,4144,66.1,2.5,67.7,2.5
,White non-Hispanic alone,Unknown,5922,5865,4408,74.4,2.3,75.2,2.3,3997,67.5,2.5,68.2,2.5
,Black alone,Unknown,1021,984,713,69.8,5.6,72.4,5.6,628,61.5,6,63.8,6
,Asian alone,Unknown,281,145,72,25.7,10.5,49.6,16.8,65,23.3,10.2,45.1,16.7
,Hispanic (of any race),Unknown,406,302,178,43.9,10.6,58.9,12.2,165,40.7,10.5,54.7,12.3
,White alone or in combination,Unknown,6374,6223,4649,72.9,2.3,74.7,2.3,4225,66.3,2.4,67.9,2.4
,Black alone or in combination,Unknown,1091,1054,773,70.9,5.4,73.3,5.3,684,62.7,5.7,64.9,5.8
,Asian alone or in combination,Unknown,309,173,90,29.3,10.5,52.1,15.3,84,27.1,10.2,48.3,15.3
MINNESOTA,Total,Unknown,4339,4142,3436,79.2,2.5,82.9,2.4,3225,74.3,2.7,77.9,2.7
,Unknown,Male,2149,2051,1690,78.6,3.6,82.4,3.5,1575,73.3,3.9,76.8,3.8
,Unknown,Female,2190,2091,1746,79.7,3.5,83.5,3.3,1649,75.3,3.8,78.9,3.7
,White alone,Unknown,3744,3678,3086,82.4,2.6,83.9,2.5,2918,77.9,2.8,79.3,2.8
,White non-Hispanic alone,Unknown,3573,3555,2990,83.7,2.5,84.1,2.5,2840,79.5,2.8,79.9,2.8
,Black alone,Unknown,260,197,139,53.5,12.2,70.5,12.8,130,50.2,12.2,66.1,13.3
,Asian alone,Unknown,179,115,91,51.2,15.2,79.4,15.3,74,41.3,15,64,18.2
,Hispanic (of any race),Unknown,209,156,116,55.8,14.8,74.7,15,98,46.8,14.9,62.7,16.7
,White alone or in combination,Unknown,3816,3750,3146,82.5,2.5,83.9,2.5,2979,78.1,2.8,79.4,2.7
,Black alone or in combination,Unknown,299,236,170,56.9,11.3,72,11.5,161,54,11.4,68.3,11.9
,Asian alone or in combination,Unknown,191,127,104,54.3,14.6,81.4,14,86,45.1,14.6,67.5,16.8
MISSISSIPPI,Total,Unknown,2212,2177,1749,79.1,2.8,80.4,2.7,1531,69.2,3.2,70.3,3.2
,Unknown,Male,1029,1015,792,76.9,4.2,78,4.2,680,66.1,4.8,67,4.8
,Unknown,Female,1182,1162,957,81,3.7,82.4,3.6,850,71.9,4.2,73.2,4.2
,White alone,Unknown,1350,1337,1054,78.1,3.6,78.8,3.6,921,68.3,4.1,68.9,4.1
,White non-Hispanic alone,Unknown,1300,1295,1026,78.9,3.6,79.2,3.6,904,69.5,4.1,69.8,4.1
,Black alone,Unknown,792,787,654,82.5,4.2,83.1,4.1,573,72.3,4.9,72.8,4.9
,Asian alone,Unknown,37,20,9,B,B,B,B,8,B,B,B,B
,Hispanic (of any race),Unknown,67,53,34,B,B,B,B,23,B,B,B,B
,White alone or in combination,Unknown,1375,1363,1079,78.5,3.6,79.2,3.5,942,68.5,4,69.1,4
,Black alone or in combination,Unknown,805,799,666,82.8,4.1,83.4,4.1,582,72.4,4.9,72.9,4.8
,Asian alone or in combination,Unknown,41,24,13,B,B,B,B,11,B,B,B,B
MISSOURI,Total,Unknown,4637,4475,3388,73.1,2.7,75.7,2.7,2990,64.5,2.9,66.8,2.9
,Unknown,Male,2205,2136,1556,70.5,4,72.9,4,1361,61.7,4.3,63.7,4.3
,Unknown,Female,2432,2340,1832,75.3,3.6,78.3,3.5,1629,67,4,69.6,4
,White alone,Unknown,3871,3812,2935,75.8,2.9,77,2.8,2576,66.5,3.2,67.6,3.2
,White non-Hispanic alone,Unknown,3687,3664,2816,76.4,2.9,76.8,2.9,2488,67.5,3.2,67.9,3.2
,Black alone,Unknown,518,507,373,72.1,7.8,73.6,7.8,351,67.8,8.2,69.2,8.1
,Asian alone,Unknown,138,64,38,B,B,B,B,38,B,B,B,B
,Hispanic (of any race),Unknown,232,178,127,54.8,14.2,71.3,14.7,95,40.9,14,53.3,16.3
,White alone or in combination,Unknown,3941,3873,2963,75.2,2.9,76.5,2.8,2588,65.7,3.1,66.8,3.1
,Black alone or in combination,Unknown,552,533,381,69,7.8,71.4,7.8,351,63.6,8.1,65.8,8.2
,Asian alone or in combination,Unknown,146,72,46,B,B,B,B,46,B,B,B,B
MONTANA,Total,Unknown,836,827,641,76.6,2.6,77.5,2.6,607,72.6,2.8,73.5,2.8
,Unknown,Male,415,411,322,77.8,3.7,78.4,3.6,299,72,4,72.5,3.9
,Unknown,Female,422,415,318,75.5,3.8,76.7,3.7,309,73.2,3.9,74.4,3.8
,White alone,Unknown,772,765,597,77.3,2.7,78,2.7,572,74,2.8,74.7,2.8
,White non-Hispanic alone,Unknown,757,751,584,77.2,2.7,77.8,2.7,560,74,2.9,74.6,2.9
,Black alone,Unknown,4,4,2,B,B,B,B,2,B,B,B,B
,Asian alone,Unknown,10,7,4,B,B,B,B,4,B,B,B,B
,Hispanic (of any race),Unknown,20,19,15,B,B,B,B,14,B,B,B,B
,White alone or in combination,Unknown,791,784,609,77,2.7,77.7,2.7,582,73.6,2.8,74.3,2.8
,Black alone or in combination,Unknown,6,6,4,B,B,B,B,3,B,B,B,B
,Asian alone or in combination,Unknown,13,10,5,B,B,B,B,5,B,B,B,B
NEBRASKA,Total,Unknown,1435,1369,971,67.7,3.4,70.9,3.4,892,62.2,3.5,65.2,3.5
,Unknown,Male,708,674,464,65.6,4.9,68.9,4.9,421,59.6,5,62.5,5.1
,Unknown,Female,728,695,507,69.7,4.7,73,4.6,471,64.7,4.8,67.8,4.8
,White alone,Unknown,1301,1255,903,69.4,3.5,71.9,3.5,826,63.5,3.6,65.8,3.7
,White non-Hispanic alone,Unknown,1205,1202,877,72.7,3.5,72.9,3.5,801,66.5,3.7,66.6,3.7
,Black alone,Unknown,80,71,45,B,B,B,B,44,B,B,B,B
,Asian alone,Unknown,26,17,9,B,B,B,B,9,B,B,B,B
,Hispanic (of any race),Unknown,98,55,28,B,B,B,B,27,B,B,B,B
,White alone or in combination,Unknown,1307,1261,907,69.4,3.5,71.9,3.5,830,63.5,3.6,65.8,3.7
,Black alone or in combination,Unknown,82,73,47,B,B,B,B,46,B,B,B,B
,Asian alone or in combination,Unknown,26,17,9,B,B,B,B,9,B,B,B,B
NEVADA,Total,Unknown,2402,2198,1455,60.6,3.2,66.2,3.3,1351,56.3,3.3,61.5,3.4
,Unknown,Male,1192,1088,698,58.6,4.6,64.1,4.7,649,54.5,4.7,59.7,4.8
,Unknown,Female,1210,1110,757,62.6,4.5,68.2,4.5,702,58,4.6,63.2,4.7
,White alone,Unknown,1691,1561,1072,63.4,3.8,68.6,3.8,1013,59.9,3.9,64.9,3.9
,White non-Hispanic alone,Unknown,1211,1187,868,71.7,4.2,73.1,4.2,827,68.3,4.3,69.7,4.3
,Black alone,Unknown,233,232,155,66.5,9.6,66.8,9.6,136,58.2,10,58.5,10
,Asian alone,Unknown,230,195,136,59,10.4,69.7,10.5,134,58.4,10.4,68.9,10.6
,Hispanic (of any race),Unknown,654,515,268,41,6.5,52,7.5,239,36.6,6.4,46.4,7.5
,White alone or in combination,Unknown,1815,1652,1113,61.4,3.7,67.4,3.7,1050,57.9,3.8,63.6,3.8
,Black alone or in combination,Unknown,259,258,167,64.6,9.2,64.9,9.2,146,56.3,9.6,56.6,9.6
,Asian alone or in combination,Unknown,252,217,146,57.8,10,67.2,10.2,144,57.2,10,66.5,10.3
NEW HAMPSHIRE,Total,Unknown,1101,1077,843,76.6,2.9,78.3,2.8,797,72.4,3,74,3
,Unknown,Male,542,531,401,74.1,4.3,75.5,4.2,375,69.2,4.5,70.5,4.5
,Unknown,Female,559,546,442,78.9,3.9,80.9,3.8,423,75.5,4.1,77.4,4.1
,White alone,Unknown,1030,1015,813,78.9,2.9,80,2.8,771,74.8,3.1,75.9,3
,White non-Hispanic alone,Unknown,1000,993,799,79.8,2.9,80.5,2.8,758,75.8,3.1,76.4,3.1
,Black alone,Unknown,20,20,4,B,B,B,B,4,B,B,B,B
,Asian alone,Unknown,27,17,9,B,B,B,B,8,B,B,B,B
,Hispanic (of any race),Unknown,38,31,19,B,B,B,B,14,B,B,B,B
,White alone or in combination,Unknown,1045,1030,823,78.8,2.9,79.9,2.8,782,74.8,3,75.9,3
,Black alone or in combination,Unknown,32,32,14,B,B,B,B,14,B,B,B,B
,Asian alone or in combination,Unknown,27,17,9,B,B,B,B,8,B,B,B,B
NEW JERSEY,Total,Unknown,6801,5921,5008,73.6,2.2,84.6,1.9,4638,68.2,2.3,78.3,2.2
,Unknown,Male,3281,2814,2366,72.1,3.2,84.1,2.8,2193,66.8,3.4,77.9,3.2
,Unknown,Female,3520,3107,2642,75,3,85,2.6,2445,69.5,3.2,78.7,3
,White alone,Unknown,4900,4462,3826,78.1,2.4,85.7,2.1,3543,72.3,2.6,79.4,2.5
,White non-Hispanic alone,Unknown,3755,3636,3134,83.5,2.5,86.2,2.3,2950,78.6,2.7,81.1,2.7
,Black alone,Unknown,994,850,658,66.2,5.9,77.5,5.6,606,60.9,6.1,71.3,6.1
,Asian alone,Unknown,810,524,443,54.7,7.1,84.5,6.4,408,50.4,7.1,77.9,7.3
,Hispanic (of any race),Unknown,1347,996,817,60.7,5.7,82,5.2,719,53.4,5.8,72.1,6.1
,White alone or in combination,Unknown,4971,4520,3884,78.1,2.4,85.9,2.1,3602,72.5,2.6,79.7,2.5
,Black alone or in combination,Unknown,1064,907,716,67.2,5.6,78.9,5.3,663,62.3,5.8,73.1,5.8
,Asian alone or in combination,Unknown,816,530,449,55.1,7,84.7,6.3,414,50.8,7.1,78.1,7.3
NEW MEXICO,Total,Unknown,1610,1498,1028,63.9,3,68.6,3,938,58.3,3.1,62.6,3.2
,Unknown,Male,784,732,495,63.1,4.4,67.6,4.4,450,57.4,4.5,61.4,4.6
,Unknown,Female,826,766,533,64.5,4.2,69.5,4.2,488,59.2,4.3,63.7,4.4
,White alone,Unknown,1340,1249,881,65.7,3.3,70.5,3.3,812,60.6,3.4,65,3.4
,White non-Hispanic alone,Unknown,745,741,578,77.5,3.9,78,3.9,542,72.7,4.1,73.1,4.1
,Black alone,Unknown,34,32,24,B,B,B,B,21,B,B,B,B
,Asian alone,Unknown,28,15,12,B,B,B,B,12,B,B,B,B
,Hispanic (of any race),Unknown,636,539,323,50.7,5.3,59.9,5.6,290,45.6,5.2,53.8,5.7
,White alone or in combination,Unknown,1384,1288,911,65.8,3.2,70.7,3.2,840,60.7,3.3,65.2,3.4
,Black alone or in combination,Unknown,46,44,34,B,B,B,B,29,B,B,B,B
,Asian alone or in combination,Unknown,38,25,22,B,B,B,B,22,B,B,B,B
NEW YORK,Total,Unknown,15105,13298,9370,62,1.6,70.5,1.7,8609,57,1.7,64.7,1.7
,Unknown,Male,7164,6216,4309,60.1,2.4,69.3,2.4,3936,54.9,2.5,63.3,2.6
,Unknown,Female,7941,7082,5061,63.7,2.3,71.5,2.2,4673,58.8,2.3,66,2.3
,White alone,Unknown,10551,9556,6933,65.7,1.9,72.5,1.9,6443,61.1,2,67.4,2
,White non-Hispanic alone,Unknown,8764,8365,6188,70.6,2,74,2,5775,65.9,2.1,69,2.1
,Black alone,Unknown,2554,2329,1598,62.6,3.8,68.6,3.8,1459,57.1,3.9,62.7,4
,Asian alone,Unknown,1533,1019,593,38.7,5.1,58.2,6.4,528,34.5,5,51.9,6.4
,Hispanic (of any race),Unknown,2330,1608,991,42.5,4.5,61.6,5.3,883,37.9,4.4,54.9,5.4
,White alone or in combination,Unknown,10786,9748,7086,65.7,1.9,72.7,1.9,6543,60.7,2,67.1,2
,Black alone or in combination,Unknown,2722,2464,1694,62.2,3.7,68.7,3.7,1523,55.9,3.8,61.8,3.9
,Asian alone or in combination,Unknown,1630,1096,665,40.8,5,60.7,6.1,568,34.9,4.9,51.9,6.2
NORTH CAROLINA,Total,Unknown,8113,7391,5161,63.6,2.2,69.8,2.2,4780,58.9,2.3,64.7,2.3
,Unknown,Male,3854,3464,2377,61.7,3.3,68.6,3.3,2185,56.7,3.3,63.1,3.4
,Unknown,Female,4259,3928,2783,65.3,3,70.9,3,2595,60.9,3.1,66.1,3.1
,White alone,Unknown,5775,5194,3638,63,2.6,70,2.6,3379,58.5,2.7,65,2.8
,White non-Hispanic alone,Unknown,4859,4765,3418,70.4,2.7,71.7,2.7,3173,65.3,2.8,66.6,2.8
,Black alone,Unknown,1752,1707,1166,66.6,4.5,68.3,4.5,1083,61.8,4.6,63.4,4.6
,Asian alone,Unknown,317,221,168,53.1,11.5,76.4,11.7,156,49.3,11.5,70.9,12.5
,Hispanic (of any race),Unknown,989,492,267,27,6.1,54.3,9.8,240,24.2,5.9,48.8,9.8
,White alone or in combination,Unknown,5894,5313,3725,63.2,2.6,70.1,2.6,3449,58.5,2.7,64.9,2.7
,Black alone or in combination,Unknown,1802,1757,1209,67.1,4.4,68.8,4.4,1118,62,4.5,63.6,4.6
,Asian alone or in combination,Unknown,344,247,182,52.9,11,73.5,11.5,170,49.4,11,68.6,12.1
NORTH DAKOTA,Total,Unknown,571,556,429,75.2,2.9,77.3,2.9,373,65.3,3.2,67.1,3.2
,Unknown,Male,289,283,217,75.1,4.1,76.7,4.1,188,64.9,4.6,66.3,4.6
,Unknown,Female,282,273,212,75.3,4.2,77.8,4.1,185,65.7,4.6,67.9,4.6
,White alone,Unknown,503,495,393,78.2,3,79.3,3,352,70,3.3,71,3.3
,White non-Hispanic alone,Unknown,489,487,388,79.3,3,79.7,3,348,71.1,3.3,71.5,3.3
,Black alone,Unknown,13,8,2,B,B,B,B,2,B,B,B,B
,Asian alone,Unknown,10,7,3,B,B,B,B,3,B,B,B,B
,Hispanic (of any race),Unknown,16,11,6,B,B,B,B,5,B,B,B,B
,White alone or in combination,Unknown,512,505,400,78.2,3,79.3,2.9,356,69.5,3.3,70.5,3.3
,Black alone or in combination,Unknown,15,10,4,B,B,B,B,2,B,B,B,B
,Asian alone or in combination,Unknown,12,8,4,B,B,B,B,3,B,B,B,B
OHIO,Total,Unknown,8951,8740,6733,75.2,1.9,77,1.8,6128,68.5,2,70.1,2
,Unknown,Male,4311,4211,3219,74.7,2.7,76.4,2.7,2913,67.6,2.9,69.2,2.9
,Unknown,Female,4640,4529,3514,75.7,2.6,77.6,2.5,3216,69.3,2.8,71,2.8
,White alone,Unknown,7416,7300,5724,77.2,2,78.4,2,5223,70.4,2.2,71.5,2.2
,White non-Hispanic alone,Unknown,7095,7064,5535,78,2,78.4,2,5077,71.6,2.2,71.9,2.2
,Black alone,Unknown,1069,1042,758,70.9,5.4,72.8,5.4,678,63.4,5.8,65.1,5.8
,Asian alone,Unknown,234,167,101,43.2,13.1,60.6,15.3,96,41,13,57.5,15.5
,Hispanic (of any race),Unknown,383,299,226,59,10.8,75.8,10.6,175,45.7,10.9,58.7,12.2
,White alone or in combination,Unknown,7592,7476,5844,77,2,78.2,2,5324,70.1,2.2,71.2,2.1
,Black alone or in combination,Unknown,1181,1153,831,70.4,5.2,72.1,5.2,738,62.5,5.5,64,5.5
,Asian alone or in combination,Unknown,260,192,126,48.7,12.5,65.8,13.8,121,46.7,12.5,63.1,14.1
OKLAHOMA,Total,Unknown,2942,2800,1884,64,3.5,67.3,3.5,1631,55.5,3.6,58.3,3.7
,Unknown,Male,1434,1367,856,59.7,5.1,62.6,5.2,741,51.7,5.2,54.2,5.3
,Unknown,Female,1508,1433,1028,68.2,4.7,71.7,4.7,890,59,5,62.1,5.1
,White alone,Unknown,2289,2175,1537,67.1,3.9,70.6,3.9,1347,58.9,4.1,62,4.1
,White non-Hispanic alone,Unknown,1977,1962,1442,73,4,73.5,3.9,1276,64.6,4.3,65,4.3
,Black alone,Unknown,231,218,123,53.3,12.4,56.4,12.7,108,46.8,12.4,49.5,12.8
,Asian alone,Unknown,26,19,4,B,B,B,B,4,B,B,B,B
,Hispanic (of any race),Unknown,348,248,106,30.6,10.2,42.8,13,75,21.6,9.1,30.3,12.1
,White alone or in combination,Unknown,2402,2288,1588,66.1,3.8,69.4,3.8,1382,57.6,4,60.4,4
,Black alone or in combination,Unknown,255,242,130,50.9,11.8,53.6,12.1,113,44.3,11.8,46.6,12.1
,Asian alone or in combination,Unknown,43,36,9,B,B,B,B,4,B,B,B,B
OREGON,Total,Unknown,3369,3242,2590,76.9,2.9,79.9,2.8,2402,71.3,3.1,74.1,3
,Unknown,Male,1645,1572,1245,75.7,4.2,79.2,4,1144,69.5,4.5,72.8,4.4
,Unknown,Female,1724,1670,1345,78,3.9,80.5,3.8,1258,73,4.2,75.3,4.2
,White alone,Unknown,2955,2876,2345,79.4,2.9,81.5,2.9,2191,74.2,3.2,76.2,3.1
,White non-Hispanic alone,Unknown,2712,2696,2229,82.2,2.9,82.7,2.9,2094,77.2,3.2,77.7,3.2
,Black alone,Unknown,82,76,47,57.6,20.6,62.2,20.9,39,47.5,20.8,51.2,21.6
,Asian alone,Unknown,143,109,70,49.4,16.3,64.8,17.8,66,46.2,16.2,60.6,18.2
,Hispanic (of any race),Unknown,281,201,122,43.6,12.2,60.8,14.2,105,37.3,11.9,51.9,14.5
,White alone or in combination,Unknown,3064,2985,2441,79.7,2.9,81.8,2.8,2265,73.9,3.1,75.9,3.1
,Black alone or in combination,Unknown,93,87,58,62.5,18.9,66.8,19,50,53.5,19.5,57.2,20
,Asian alone or in combination,Unknown,179,145,101,56.6,14.4,69.8,14.8,84,47.3,14.5,58.3,15.9
PENNSYLVANIA,Total,Unknown,9902,9621,7337,74.1,1.8,76.3,1.8,6756,68.2,1.9,70.2,1.9
,Unknown,Male,4787,4638,3489,72.9,2.6,75.2,2.6,3192,66.7,2.8,68.8,2.8
,Unknown,Female,5115,4983,3848,75.2,2.5,77.2,2.4,3564,69.7,2.6,71.5,2.6
,White alone,Unknown,8485,8324,6390,75.3,1.9,76.8,1.9,5875,69.2,2.1,70.6,2.1
,White non-Hispanic alone,Unknown,7910,7862,6115,77.3,1.9,77.8,1.9,5634,71.2,2.1,71.7,2.1
,Black alone,Unknown,1042,981,751,72,5.5,76.5,5.3,694,66.6,5.8,70.8,5.7
,Asian alone,Unknown,231,171,88,38,13,51.4,15.5,84,36.3,12.8,49.1,15.5
,Hispanic (of any race),Unknown,618,497,305,49.3,8.7,61.4,9.4,270,43.6,8.6,54.3,9.6
,White alone or in combination,Unknown,8613,8453,6486,75.3,1.9,76.7,1.9,5965,69.3,2,70.6,2
,Black alone or in combination,Unknown,1139,1078,824,72.3,5.2,76.4,5.1,761,66.9,5.5,70.6,5.5
,Asian alone or in combination,Unknown,246,186,103,41.8,12.8,55.4,14.8,99,40.3,12.7,53.2,14.8
RHODE ISLAND,Total,Unknown,840,776,575,68.5,3.2,74.1,3.2,515,61.3,3.4,66.3,3.4
,Unknown,Male,402,377,273,68,4.7,72.5,4.7,246,61.3,4.9,65.3,5
,Unknown,Female,438,399,302,69.1,4.5,75.7,4.3,269,61.4,4.7,67.2,4.8
,White alone,Unknown,742,698,519,69.9,3.4,74.3,3.3,462,62.2,3.6,66.1,3.6
,White non-Hispanic alone,Unknown,659,642,484,73.4,3.5,75.4,3.4,429,65.1,3.8,66.8,3.8
,Black alone,Unknown,61,53,39,B,B,B,B,37,B,B,B,B
,Asian alone,Unknown,25,15,10,B,B,B,B,10,B,B,B,B
,Hispanic (of any race),Unknown,88,60,38,B,B,B,B,36,B,B,B,B
,White alone or in combination,Unknown,750,706,525,70,3.4,74.4,3.3,466,62.2,3.6,66,3.6
,Black alone or in combination,Unknown,68,60,45,B,B,B,B,41,B,B,B,B
,Asian alone or in combination,Unknown,25,15,10,B,B,B,B,10,B,B,B,B
SOUTH CAROLINA,Total,Unknown,4010,3878,2713,67.7,3,70,3,2459,61.3,3.1,63.4,3.1
,Unknown,Male,1887,1820,1266,67.1,4.4,69.5,4.4,1158,61.3,4.5,63.6,4.6
,Unknown,Female,2123,2058,1447,68.2,4.1,70.3,4.1,1302,61.3,4.3,63.3,4.3
,White alone,Unknown,2840,2739,2013,70.9,3.5,73.5,3.4,1845,64.9,3.6,67.4,3.6
,White non-Hispanic alone,Unknown,2605,2590,1945,74.7,3.5,75.1,3.4,1789,68.7,3.7,69,3.7
,Black alone,Unknown,1032,1012,613,59.4,5.9,60.5,5.9,546,52.9,6,53.9,6.1
,Asian alone,Unknown,50,40,37,B,B,B,B,34,B,B,B,B
,Hispanic (of any race),Unknown,257,163,77,30.1,12.1,47.5,16.6,62,24.3,11.3,38.3,16.1
,White alone or in combination,Unknown,2888,2786,2049,71,3.4,73.6,3.4,1871,64.8,3.6,67.1,3.6
,Black alone or in combination,Unknown,1047,1026,618,59.1,5.9,60.2,5.9,551,52.7,6,53.7,6
,Asian alone or in combination,Unknown,70,59,53,B,B,B,B,51,B,B,B,B
SOUTH DAKOTA,Total,Unknown,659,649,437,66.3,3.4,67.4,3.4,380,57.7,3.5,58.5,3.5
,Unknown,Male,330,326,217,65.6,4.8,66.5,4.8,189,57.2,5,57.9,5
,Unknown,Female,329,323,221,67,4.8,68.2,4.8,191,58.1,5,59.2,5
,White alone,Unknown,587,585,401,68.3,3.5,68.5,3.5,351,59.7,3.7,59.9,3.7
,White non-Hispanic alone,Unknown,577,577,397,68.8,3.5,68.8,3.5,348,60.3,3.7,60.3,3.7
,Black alone,Unknown,18,13,5,B,B,B,B,4,B,B,B,B
,Asian alone,Unknown,12,9,4,B,B,B,B,4,B,B,B,B
,Hispanic (of any race),Unknown,13,10,6,B,B,B,B,5,B,B,B,B
,White alone or in combination,Unknown,600,598,411,68.5,3.5,68.7,3.5,360,60,3.7,60.2,3.7
,Black alone or in combination,Unknown,18,13,5,B,B,B,B,4,B,B,B,B
,Asian alone or in combination,Unknown,18,15,8,B,B,B,B,8,B,B,B,B
TENNESSEE,Total,Unknown,5283,5038,3742,70.8,2.6,74.3,2.5,3346,63.3,2.7,66.4,2.7
,Unknown,Male,2544,2409,1766,69.4,3.7,73.3,3.7,1563,61.4,3.9,64.9,4
,Unknown,Female,2738,2629,1976,72.2,3.5,75.2,3.4,1783,65.1,3.7,67.8,3.7
,White alone,Unknown,4212,4014,2992,71,2.9,74.5,2.8,2677,63.6,3,66.7,3
,White non-Hispanic alone,Unknown,3918,3890,2924,74.6,2.8,75.2,2.8,2619,66.8,3.1,67.3,3.1
,Black alone,Unknown,866,853,658,76,5.7,77.1,5.6,592,68.3,6.2,69.4,6.2
,Asian alone,Unknown,99,65,37,B,B,B,B,34,B,B,B,B
,Hispanic (of any race),Unknown,329,152,72,22,9.8,47.6,17.3,63,19.1,9.3,41.4,17.1
,White alone or in combination,Unknown,4298,4101,3032,70.5,2.8,73.9,2.8,2708,63,3,66,3
,Black alone or in combination,Unknown,895,882,671,75,5.7,76.1,5.6,602,67.2,6.1,68.2,6.1
,Asian alone or in combination,Unknown,111,76,49,43.9,19,63.7,22.1,46,41.3,18.8,59.9,22.6
TEXAS,Total,Unknown,21485,18581,13343,62.1,1.4,71.8,1.4,11874,55.3,1.4,63.9,1.5
,Unknown,Male,10513,9082,6338,60.3,2,69.8,2,5580,53.1,2,61.4,2.1
,Unknown,Female,10972,9500,7005,63.8,1.9,73.7,1.9,6295,57.4,2,66.3,2
,White alone,Unknown,17042,14760,10734,63,1.5,72.7,1.5,9612,56.4,1.6,65.1,1.6
,White non-Hispanic alone,Unknown,9615,9423,7396,76.9,1.8,78.5,1.8,6785,70.6,1.9,72,1.9
,Black alone,Unknown,2700,2502,1759,65.1,3.6,70.3,3.6,1521,56.3,3.8,60.8,3.9
,Asian alone,Unknown,1239,821,521,42.1,5.7,63.5,6.8,482,38.9,5.6,58.7,7
,Hispanic (of any race),Unknown,7730,5599,3538,45.8,2.5,63.2,2.8,2972,38.4,2.4,53.1,2.9
,White alone or in combination,Unknown,17361,15079,10928,62.9,1.5,72.5,1.5,9762,56.2,1.6,64.7,1.6
,Black alone or in combination,Unknown,2890,2692,1882,65.1,3.5,69.9,3.5,1636,56.6,3.6,60.8,3.7
,Asian alone or in combination,Unknown,1355,937,601,44.4,5.5,64.2,6.4,546,40.3,5.4,58.3,6.6
UTAH,Total,Unknown,2320,2178,1468,63.3,2.7,67.4,2.7,1386,59.7,2.8,63.6,2.8
