"Table with row headers in columns A and B, and column headers in rows 4 through 5.",,,,,,,,,,,,,,
"Table 4b.  Reported Voting and Registration, by Sex, Race and Hispanic Origin, for States: November 2016",,,,,,,,,,,,,,
(In thousands),,,,,,,,,,,,,,
STATE,Race,Sex,Total Population,Total Citizen Population,Registered,,,,,Voted,,,,
,,,,,Total registered,"Percent registered
(Total)",Margin of Error 1,"Percent registered
(Citizen)",Margin of Error 1,Total voted,"Percent voted
(Total)",Margin of Error 1,"Percent voted
(Citizen)",Margin of Error 1
,White alone,Unknown,4464,4260,3229,72.3,2.2,75.8,2.1,2919,65.4,2.3,68.5,2.3
,White non-Hispanic alone,Unknown,4083,3969,3078,75.4,2.2,77.5,2.2,2789,68.3,2.4,70.3,2.4
,Black alone,Unknown,438,368,266,60.8,9.2,72.4,9.2,242,55.3,9.4,65.8,9.8
,Asian alone,Unknown,353,238,128,36.3,10.6,53.8,13.4,121,34.2,10.4,50.8,13.4
,Hispanic (of any race),Unknown,500,397,199,39.8,11.2,50.1,12.9,177,35.4,11,44.6,12.8
,White alone or in combination,Unknown,4573,4357,3263,71.4,2.2,74.9,2.1,2950,64.5,2.3,67.7,2.3
,Black alone or in combination,Unknown,513,431,284,55.4,8.7,65.9,9,260,50.7,8.7,60.3,9.3
,Asian alone or in combination,Unknown,369,254,133,36,10.3,52.4,12.9,126,34.1,10.2,49.5,13
MICHIGAN,Total,Unknown,7624,7332,5434,71.3,1.7,74.1,1.7,4713,61.8,1.8,64.3,1.8
,Unknown,Male,3650,3473,2540,69.6,2.5,73.1,2.5,2150,58.9,2.7,61.9,2.7
,Unknown,Female,3974,3859,2893,72.8,2.3,75,2.3,2563,64.5,2.5,66.4,2.5
,White alone,Unknown,6264,6071,4579,73.1,1.8,75.4,1.8,3984,63.6,2,65.6,2
,White non-Hispanic alone,Unknown,6006,5890,4498,74.9,1.8,76.4,1.8,3914,65.2,2,66.5,2
,Black alone,Unknown,1039,1020,708,68.1,5.8,69.4,5.8,623,59.9,6.1,61,6.1
,Asian alone,Unknown,182,108,63,34.5,14.7,58.3,19.8,58,32,14.4,54.2,20
,Hispanic (of any race),Unknown,288,206,101,35,14.6,49,18.1,74,25.7,13.3,36,17.3
,White alone or in combination,Unknown,6365,6167,4648,73,1.8,75.4,1.8,4021,63.2,2,65.2,2
,Black alone or in combination,Unknown,1100,1080,752,68.4,5.6,69.6,5.6,642,58.4,5.9,59.4,6
,Asian alone or in combination,Unknown,192,113,63,32.7,14.1,55.6,19.5,58,30.4,13.8,51.7,19.6
MINNESOTA,Total,Unknown,4190,3985,3055,72.9,2.3,76.7,2.2,2738,65.3,2.4,68.7,2.4
,Unknown,Male,2063,1952,1457,70.6,3.3,74.6,3.3,1312,63.6,3.5,67.2,3.5
,Unknown,Female,2127,2033,1598,75.1,3.1,78.6,3,1426,67.1,3.4,70.2,3.4
,White alone,Unknown,3614,3506,2723,75.4,2.4,77.7,2.3,2457,68,2.6,70.1,2.6
,White non-Hispanic alone,Unknown,3425,3405,2680,78.2,2.3,78.7,2.3,2417,70.6,2.6,71,2.6
,Black alone,Unknown,193,169,126,65.3,13.7,74.7,13.4,112,58,14.2,66.3,14.6
,Asian alone,Unknown,172,124,79,46.1,15.9,63.7,18.1,64,37.4,15.5,51.6,18.8
,Hispanic (of any race),Unknown,255,136,54,21,13.3,39.6,21.9,50,19.4,12.9,36.6,21.5
,White alone or in combination,Unknown,3671,3563,2756,75.1,2.4,77.4,2.3,2489,67.8,2.6,69.9,2.5
,Black alone or in combination,Unknown,201,176,134,66.6,13.4,75.8,12.9,120,59.6,13.9,67.7,14.1
,Asian alone or in combination,Unknown,196,148,97,49.8,15,65.7,16.3,82,42.1,14.8,55.6,17.1
MISSISSIPPI,Total,Unknown,2203,2170,1725,78.3,2.3,79.5,2.2,1470,66.7,2.6,67.7,2.6
,Unknown,Male,1026,1010,780,76,3.5,77.2,3.4,657,64,3.9,65,3.9
,Unknown,Female,1177,1160,945,80.3,3,81.5,3,813,69.1,3.5,70.1,3.5
,White alone,Unknown,1377,1355,1070,77.7,2.9,79,2.9,918,66.7,3.3,67.8,3.3
,White non-Hispanic alone,Unknown,1345,1339,1056,78.5,2.9,78.8,2.9,907,67.4,3.3,67.7,3.3
,Black alone,Unknown,782,777,632,80.9,4.4,81.4,4.4,537,68.7,5.2,69.1,5.2
,Asian alone,Unknown,18,13,8,B,B,B,B,6,B,B,B,B
,Hispanic (of any race),Unknown,41,23,18,B,B,B,B,15,B,B,B,B
,White alone or in combination,Unknown,1394,1371,1081,77.6,2.9,78.9,2.9,923,66.2,3.3,67.3,3.3
,Black alone or in combination,Unknown,791,786,639,80.8,4.4,81.3,4.4,544,68.8,5.2,69.2,5.2
,Asian alone or in combination,Unknown,22,18,10,B,B,B,B,6,B,B,B,B
MISSOURI,Total,Unknown,4626,4486,3333,72.1,2.2,74.3,2.2,2906,62.8,2.4,64.8,2.4
,Unknown,Male,2231,2159,1534,68.8,3.3,71.1,3.3,1328,59.5,3.5,61.5,3.5
,Unknown,Female,2395,2328,1799,75.1,3,77.3,2.9,1577,65.9,3.2,67.8,3.2
,White alone,Unknown,3957,3860,2886,72.9,2.4,74.8,2.3,2529,63.9,2.6,65.5,2.6
,White non-Hispanic alone,Unknown,3808,3779,2832,74.4,2.4,75,2.4,2485,65.2,2.6,65.8,2.6
,Black alone,Unknown,491,491,385,78.4,7.5,78.4,7.5,325,66.2,8.6,66.2,8.6
,Asian alone,Unknown,77,34,21,B,B,B,B,21,B,B,B,B
,Hispanic (of any race),Unknown,160,93,59,B,B,B,B,50,B,B,B,B
,White alone or in combination,Unknown,4015,3919,2898,72.2,2.4,73.9,2.3,2538,63.2,2.5,64.8,2.5
,Black alone or in combination,Unknown,532,532,414,77.9,7.3,77.9,7.3,348,65.5,8.3,65.5,8.3
,Asian alone or in combination,Unknown,81,38,25,B,B,B,B,25,B,B,B,B
MONTANA,Total,Unknown,798,790,581,72.8,2.3,73.5,2.3,521,65.2,2.4,65.9,2.4
,Unknown,Male,399,396,287,71.9,3.2,72.5,3.2,256,64,3.5,64.6,3.5
,Unknown,Female,399,395,294,73.7,3.2,74.4,3.2,265,66.5,3.4,67.2,3.4
,White alone,Unknown,738,735,542,73.4,2.3,73.8,2.3,492,66.7,2.5,67,2.5
,White non-Hispanic alone,Unknown,721,718,532,73.8,2.4,74.1,2.4,483,67,2.5,67.3,2.5
,Black alone,Unknown,5,3,2,B,B,B,B,2,B,B,B,B
,Asian alone,Unknown,7,5,3,B,B,B,B,2,B,B,B,B
,Hispanic (of any race),Unknown,20,19,12,B,B,B,B,11,B,B,B,B
,White alone or in combination,Unknown,754,751,554,73.4,2.3,73.7,2.3,504,66.7,2.5,67.1,2.5
,Black alone or in combination,Unknown,8,5,4,B,B,B,B,4,B,B,B,B
,Asian alone or in combination,Unknown,8,7,3,B,B,B,B,3,B,B,B,B
NEBRASKA,Total,Unknown,1407,1336,1008,71.7,2.6,75.5,2.6,893,63.4,2.8,66.8,2.8
,Unknown,Male,696,661,480,68.9,3.9,72.6,3.8,419,60.2,4.1,63.4,4.1
,Unknown,Female,711,676,529,74.3,3.6,78.2,3.5,474,66.6,3.9,70.1,3.9
,White alone,Unknown,1253,1202,927,74,2.7,77.1,2.7,837,66.8,2.9,69.6,2.9
,White non-Hispanic alone,Unknown,1150,1138,882,76.7,2.7,77.5,2.7,800,69.6,3,70.3,3
,Black alone,Unknown,56,52,41,B,B,B,B,30,B,B,B,B
,Asian alone,Unknown,35,23,12,B,B,B,B,7,B,B,B,B
,Hispanic (of any race),Unknown,109,65,47,B,B,B,B,37,B,B,B,B
,White alone or in combination,Unknown,1280,1228,938,73.2,2.7,76.3,2.7,844,65.9,2.9,68.7,2.9
,Black alone or in combination,Unknown,63,58,42,B,B,B,B,31,B,B,B,B
,Asian alone or in combination,Unknown,35,23,12,B,B,B,B,7,B,B,B,B
NEVADA,Total,Unknown,2234,1975,1371,61.4,2.7,69.4,2.7,1195,53.5,2.8,60.5,2.9
,Unknown,Male,1098,974,663,60.4,3.9,68,3.9,570,51.9,3.9,58.5,4.1
,Unknown,Female,1136,1001,708,62.4,3.8,70.8,3.8,625,55,3.9,62.4,4
,White alone,Unknown,1730,1537,1076,62.2,3,70,3.1,948,54.8,3.1,61.7,3.2
,White non-Hispanic alone,Unknown,1275,1236,879,69,3.4,71.1,3.4,781,61.3,3.6,63.2,3.6
,Black alone,Unknown,182,169,122,67.3,11,72.3,10.9,110,60.7,11.5,65.1,11.6
,Asian alone,Unknown,198,163,91,46,11.7,56,12.8,72,36.5,11.3,44.4,12.8
,Hispanic (of any race),Unknown,517,346,234,45.3,9,67.7,10.3,196,37.9,8.8,56.6,10.9
,White alone or in combination,Unknown,1775,1581,1109,62.5,3,70.2,3,977,55.1,3.1,61.8,3.2
,Black alone or in combination,Unknown,204,191,143,70.2,10.1,74.7,9.9,128,62.9,10.7,67.1,10.7
,Asian alone or in combination,Unknown,214,178,99,46.2,11.2,55.3,12.3,78,36.4,10.9,43.6,12.2
NEW HAMPSHIRE,Total,Unknown,1044,1012,763,73.1,2.5,75.4,2.5,698,66.9,2.7,69,2.6
,Unknown,Male,509,494,359,70.6,3.7,72.7,3.6,327,64.3,3.9,66.2,3.9
,Unknown,Female,535,518,404,75.4,3.4,77.9,3.3,371,69.3,3.6,71.6,3.6
,White alone,Unknown,990,973,740,74.7,2.5,76,2.5,677,68.4,2.7,69.6,2.7
,White non-Hispanic alone,Unknown,976,964,733,75.2,2.5,76.1,2.5,672,68.9,2.7,69.7,2.7
,Black alone,Unknown,11,9,5,B,B,B,B,5,B,B,B,B
,Asian alone,Unknown,27,16,9,B,B,B,B,9,B,B,B,B
,Hispanic (of any race),Unknown,19,11,9,B,B,B,B,7,B,B,B,B
,White alone or in combination,Unknown,1002,984,746,74.5,2.5,75.9,2.5,681,68,2.7,69.3,2.7
,Black alone or in combination,Unknown,16,13,8,B,B,B,B,5,B,B,B,B
,Asian alone or in combination,Unknown,28,17,11,B,B,B,B,11,B,B,B,B
NEW JERSEY,Total,Unknown,6862,5958,4165,60.7,1.9,69.9,2,3665,53.4,2,61.5,2.1
,Unknown,Male,3282,2825,1911,58.2,2.8,67.6,2.9,1668,50.8,2.9,59.1,3.1
,Unknown,Female,3580,3132,2255,63,2.7,72,2.6,1997,55.8,2.7,63.7,2.8
,White alone,Unknown,5237,4669,3349,64,2.2,71.7,2.2,2961,56.6,2.3,63.4,2.3
,White non-Hispanic alone,Unknown,4048,3891,2933,72.5,2.3,75.4,2.3,2604,64.3,2.5,66.9,2.5
,Black alone,Unknown,964,814,550,57,6.4,67.5,6.6,469,48.7,6.4,57.6,6.9
,Asian alone,Unknown,579,399,220,38,8.4,55.2,10.4,211,36.4,8.3,52.9,10.4
,Hispanic (of any race),Unknown,1379,913,486,35.2,6.7,53.2,8.6,395,28.6,6.3,43.2,8.5
,White alone or in combination,Unknown,5274,4702,3374,64,2.2,71.7,2.2,2982,56.5,2.3,63.4,2.3
,Black alone or in combination,Unknown,977,824,553,56.7,6.3,67.2,6.5,469,48,6.4,56.9,6.9
,Asian alone or in combination,Unknown,602,422,238,39.6,8.3,56.4,10.1,229,38,8.2,54.2,10.1
NEW MEXICO,Total,Unknown,1547,1396,916,59.2,2.5,65.6,2.6,765,49.4,2.6,54.8,2.7
,Unknown,Male,749,669,416,55.5,3.7,62.1,3.8,342,45.7,3.7,51.1,3.9
,Unknown,Female,798,727,500,62.7,3.5,68.8,3.5,423,53,3.6,58.2,3.7
,White alone,Unknown,1183,1053,722,61.1,2.9,68.6,2.9,620,52.4,3,58.8,3.1
,White non-Hispanic alone,Unknown,554,543,420,75.8,3.7,77.3,3.7,376,67.8,4,69.2,4
,Black alone,Unknown,42,40,26,B,B,B,B,22,B,B,B,B
,Asian alone,Unknown,32,27,16,B,B,B,B,14,B,B,B,B
,Hispanic (of any race),Unknown,705,571,340,48.3,6,59.6,6.6,276,39.1,5.9,48.2,6.7
,White alone or in combination,Unknown,1211,1074,738,61,2.9,68.7,2.9,635,52.4,2.9,59.1,3.1
,Black alone or in combination,Unknown,57,51,33,B,B,B,B,28,B,B,B,B
,Asian alone or in combination,Unknown,36,31,18,B,B,B,B,16,B,B,B,B
NEW YORK,Total,Unknown,15506,13751,9142,59,1.3,66.5,1.4,7869,50.7,1.3,57.2,1.4
,Unknown,Male,7389,6513,4225,57.2,1.9,64.9,2,3592,48.6,2,55.2,2.1
,Unknown,Female,8116,7238,4917,60.6,1.8,67.9,1.8,4277,52.7,1.9,59.1,1.9
,White alone,Unknown,11101,10159,6997,63,1.5,68.9,1.5,6049,54.5,1.6,59.5,1.6
,White non-Hispanic alone,Unknown,9270,8870,6264,67.6,1.6,70.6,1.6,5418,58.4,1.7,61.1,1.7
,Black alone,Unknown,2610,2321,1570,60.2,3.9,67.6,3.9,1350,51.7,4,58.2,4.2
,Asian alone,Unknown,1547,1059,430,27.8,4.8,40.6,6.4,365,23.6,4.6,34.5,6.2
,Hispanic (of any race),Unknown,2346,1735,1044,44.5,5.4,60.2,6.2,878,37.4,5.3,50.6,6.3
,White alone or in combination,Unknown,11193,10241,7040,62.9,1.5,68.7,1.5,6089,54.4,1.6,59.5,1.6
,Black alone or in combination,Unknown,2692,2387,1607,59.7,3.8,67.3,3.9,1374,51,3.9,57.6,4.1
,Asian alone or in combination,Unknown,1561,1073,443,28.4,4.8,41.3,6.4,379,24.3,4.6,35.4,6.2
NORTH CAROLINA,Total,Unknown,7631,6960,5194,68.1,1.8,74.6,1.7,4700,61.6,1.9,67.5,1.9
,Unknown,Male,3596,3243,2414,67.1,2.6,74.4,2.6,2181,60.6,2.7,67.2,2.8
,Unknown,Female,4034,3717,2780,68.9,2.4,74.8,2.4,2519,62.4,2.5,67.8,2.6
,White alone,Unknown,5480,4997,3776,68.9,2.1,75.6,2,3412,62.3,2.2,68.3,2.2
,White non-Hispanic alone,Unknown,4740,4679,3595,75.8,2.1,76.8,2.1,3253,68.6,2.3,69.5,2.2
,Black alone,Unknown,1625,1582,1191,73.3,4.4,75.3,4.4,1094,67.3,4.7,69.1,4.7
,Asian alone,Unknown,312,211,151,48.4,11.9,71.5,13.1,124,39.6,11.7,58.5,14.3
,Hispanic (of any race),Unknown,804,350,208,25.9,8.1,59.6,13.8,186,23.1,7.8,53.1,14
,White alone or in combination,Unknown,5564,5072,3823,68.7,2.1,75.4,2,3453,62.1,2.2,68.1,2.2
,Black alone or in combination,Unknown,1685,1633,1223,72.6,4.4,74.9,4.3,1126,66.8,4.6,69,4.6
,Asian alone or in combination,Unknown,318,217,156,49.3,11.8,72.2,12.9,124,38.9,11.6,57,14.2
NORTH DAKOTA,Total,Unknown,583,564,424,72.8,2.4,75.2,2.4,362,62.1,2.6,64.2,2.6
,Unknown,Male,298,288,216,72.6,3.4,75,3.3,182,61.1,3.7,63.2,3.7
,Unknown,Female,285,276,208,73.1,3.4,75.4,3.4,180,63.2,3.7,65.2,3.7
,White alone,Unknown,520,515,403,77.5,2.4,78.2,2.4,348,67.1,2.7,67.7,2.7
,White non-Hispanic alone,Unknown,511,508,399,77.9,2.4,78.4,2.4,345,67.4,2.7,67.9,2.7
,Black alone,Unknown,15,9,4,B,B,B,B,3,B,B,B,B
,Asian alone,Unknown,11,3,2,B,B,B,B,2,B,B,B,B
,Hispanic (of any race),Unknown,9,7,5,B,B,B,B,4,B,B,B,B
,White alone or in combination,Unknown,528,523,406,77,2.4,77.7,2.4,351,66.5,2.7,67.1,2.7
,Black alone or in combination,Unknown,15,10,4,B,B,B,B,3,B,B,B,B
,Asian alone or in combination,Unknown,12,4,3,B,B,B,B,2,B,B,B,B
OHIO,Total,Unknown,8811,8499,6128,69.5,1.6,72.1,1.6,5408,61.4,1.7,63.6,1.7
,Unknown,Male,4219,4070,2837,67.2,2.4,69.7,2.4,2472,58.6,2.5,60.7,2.5
,Unknown,Female,4593,4429,3291,71.7,2.2,74.3,2.2,2936,63.9,2.3,66.3,2.3
,White alone,Unknown,7340,7226,5235,71.3,1.7,72.4,1.7,4642,63.2,1.9,64.2,1.9
,White non-Hispanic alone,Unknown,7108,7058,5121,72,1.8,72.6,1.8,4547,64,1.9,64.4,1.9
,Black alone,Unknown,1031,977,722,70,5.7,73.9,5.6,637,61.8,6,65.2,6.1
,Asian alone,Unknown,250,118,62,25,11.4,53.1,19.2,55,22,10.9,46.8,19.2
,Hispanic (of any race),Unknown,277,173,119,43.1,15.4,68.9,18.2,100,36.2,15,57.8,19.5
,White alone or in combination,Unknown,7496,7371,5319,71,1.7,72.2,1.7,4696,62.6,1.8,63.7,1.8
,Black alone or in combination,Unknown,1127,1072,769,68.3,5.5,71.8,5.5,662,58.8,5.9,61.8,5.9
,Asian alone or in combination,Unknown,262,129,68,25.9,11.3,52.5,18.3,60,23.1,10.9,46.8,18.3
OKLAHOMA,Total,Unknown,2923,2746,1861,63.7,2.8,67.8,2.8,1555,53.2,2.9,56.6,3
,Unknown,Male,1417,1330,890,62.8,4.1,66.9,4.1,735,51.8,4.2,55.2,4.3
,Unknown,Female,1507,1416,971,64.5,3.9,68.6,3.9,820,54.4,4.1,57.9,4.2
,White alone,Unknown,2289,2158,1470,64.2,3.2,68.1,3.2,1263,55.2,3.3,58.5,3.4
,White non-Hispanic alone,Unknown,2038,2029,1416,69.5,3.2,69.8,3.2,1227,60.2,3.4,60.5,3.5
,Black alone,Unknown,198,178,139,70.2,12.5,77.8,12,102,51.7,13.7,57.3,14.3
,Asian alone,Unknown,81,56,37,B,B,B,B,28,B,B,B,B
,Hispanic (of any race),Unknown,280,150,68,24.2,12.8,45.2,20.3,50,17.9,11.4,33.4,19.2
,White alone or in combination,Unknown,2380,2250,1520,63.9,3.1,67.6,3.1,1300,54.6,3.2,57.8,3.3
,Black alone or in combination,Unknown,214,195,149,69.3,12.1,76.2,11.7,109,50.7,13.1,55.8,13.7
,Asian alone or in combination,Unknown,87,62,40,B,B,B,B,28,B,B,B,B
OREGON,Total,Unknown,3185,2929,2147,67.4,2.6,73.3,2.6,1942,61,2.7,66.3,2.8
,Unknown,Male,1567,1431,1052,67.1,3.8,73.5,3.7,952,60.7,3.9,66.5,4
,Unknown,Female,1618,1497,1095,67.7,3.7,73.2,3.6,990,61.2,3.8,66.1,3.9
,White alone,Unknown,2808,2644,1961,69.9,2.7,74.2,2.7,1790,63.7,2.9,67.7,2.9
,White non-Hispanic alone,Unknown,2466,2448,1836,74.4,2.8,75,2.8,1684,68.3,3,68.8,3
,Black alone,Unknown,57,41,28,B,B,B,B,23,B,B,B,B
,Asian alone,Unknown,145,92,53,B,B,B,B,47,B,B,B,B
,Hispanic (of any race),Unknown,371,223,142,38.3,12.6,63.8,16,122,32.9,12.1,54.9,16.6
,White alone or in combination,Unknown,2907,2737,2030,69.8,2.7,74.2,2.6,1850,63.6,2.8,67.6,2.8
,Black alone or in combination,Unknown,82,65,44,B,B,B,B,37,B,B,B,B
,Asian alone or in combination,Unknown,172,116,77,44.8,15.2,66.4,17.6,66,38.3,14.8,56.7,18.4
PENNSYLVANIA,Total,Unknown,9980,9596,6909,69.2,1.5,72,1.5,6008,60.2,1.6,62.6,1.6
,Unknown,Male,4808,4589,3199,66.5,2.3,69.7,2.2,2793,58.1,2.4,60.9,2.4
,Unknown,Female,5172,5007,3709,71.7,2.1,74.1,2.1,3215,62.2,2.2,64.2,2.2
,White alone,Unknown,8435,8203,5916,70.1,1.7,72.1,1.6,5153,61.1,1.8,62.8,1.8
,White non-Hispanic alone,Unknown,8022,7884,5716,71.3,1.7,72.5,1.7,4991,62.2,1.8,63.3,1.8
,Black alone,Unknown,1071,1007,751,70.1,5.6,74.5,5.5,637,59.5,6,63.2,6.1
,Asian alone,Unknown,311,223,138,44.4,11.8,61.8,13.6,135,43.3,11.8,60.3,13.7
,Hispanic (of any race),Unknown,544,443,279,51.2,11.2,62.9,11.9,229,42.1,11,51.7,12.4
,White alone or in combination,Unknown,8524,8292,5958,69.9,1.6,71.9,1.6,5190,60.9,1.8,62.6,1.8
,Black alone or in combination,Unknown,1152,1088,805,69.9,5.4,74,5.3,692,60.1,5.8,63.6,5.9
,Asian alone or in combination,Unknown,325,238,147,45.2,11.6,61.8,13.2,144,44.2,11.5,60.4,13.3
RHODE ISLAND,Total,Unknown,836,766,538,64.4,2.7,70.3,2.7,464,55.5,2.8,60.6,2.9
,Unknown,Male,404,369,253,62.7,3.9,68.6,3.9,213,52.8,4,57.8,4.2
,Unknown,Female,432,397,285,66,3.7,71.8,3.7,251,58.1,3.9,63.2,3.9
,White alone,Unknown,699,664,467,66.7,2.9,70.3,2.9,403,57.7,3,60.7,3.1
,White non-Hispanic alone,Unknown,599,588,417,69.5,3.1,70.9,3.1,363,60.5,3.3,61.7,3.3
,Black alone,Unknown,63,58,42,B,B,B,B,34,B,B,B,B
,Asian alone,Unknown,37,16,9,B,B,B,B,9,B,B,B,B
,Hispanic (of any race),Unknown,132,98,67,B,B,B,B,57,B,B,B,B
,White alone or in combination,Unknown,707,672,472,66.8,2.9,70.3,2.9,407,57.6,3,60.6,3.1
,Black alone or in combination,Unknown,69,64,47,B,B,B,B,38,B,B,B,B
,Asian alone or in combination,Unknown,39,18,10,B,B,B,B,10,B,B,B,B
SOUTH CAROLINA,Total,Unknown,3733,3598,2575,69,2.5,71.6,2.4,2233,59.8,2.6,62.1,2.6
,Unknown,Male,1774,1709,1145,64.6,3.7,67,3.7,992,55.9,3.8,58,3.9
,Unknown,Female,1959,1889,1430,73,3.3,75.7,3.2,1241,63.4,3.5,65.7,3.6
,White alone,Unknown,2621,2516,1760,67.1,3,70,3,1529,58.3,3.1,60.8,3.2
,White non-Hispanic alone,Unknown,2477,2459,1736,70.1,3,70.6,3,1513,61.1,3.2,61.5,3.2
,Black alone,Unknown,975,964,720,73.8,5.5,74.6,5.5,628,64.4,6,65.2,6
,Asian alone,Unknown,62,48,35,B,B,B,B,29,B,B,B,B
,Hispanic (of any race),Unknown,175,76,39,B,B,B,B,31,B,B,B,B
,White alone or in combination,Unknown,2662,2557,1795,67.4,3,70.2,2.9,1554,58.4,3.1,60.8,3.1
,Black alone or in combination,Unknown,997,986,735,73.8,5.5,74.6,5.5,640,64.3,6,65,6
,Asian alone or in combination,Unknown,62,48,35,B,B,B,B,29,B,B,B,B
SOUTH DAKOTA,Total,Unknown,631,612,437,69.3,2.7,71.4,2.7,362,57.3,2.9,59.1,2.9
,Unknown,Male,314,304,213,68,3.9,70.3,3.9,171,54.6,4.1,56.5,4.2
,Unknown,Female,318,309,224,70.6,3.8,72.6,3.7,191,60,4.1,61.7,4.1
,White alone,Unknown,560,551,406,72.5,2.8,73.6,2.8,340,60.7,3,61.6,3.1
,White non-Hispanic alone,Unknown,546,543,402,73.6,2.8,74,2.8,336,61.6,3.1,61.9,3.1
,Black alone,Unknown,11,8,4,B,B,B,B,3,B,B,B,B
,Asian alone,Unknown,9,2,-,B,B,B,B,-,B,B,B,B
,Hispanic (of any race),Unknown,21,15,8,B,B,B,B,7,B,B,B,B
,White alone or in combination,Unknown,565,557,410,72.6,2.8,73.7,2.8,343,60.7,3,61.6,3
,Black alone or in combination,Unknown,12,9,6,B,B,B,B,5,B,B,B,B
,Asian alone or in combination,Unknown,9,2,-,B,B,B,B,-,B,B,B,B
TENNESSEE,Total,Unknown,5057,4872,3251,64.3,2.2,66.7,2.2,2630,52,2.3,54,2.3
,Unknown,Male,2418,2316,1505,62.2,3.2,65,3.3,1218,50.4,3.3,52.6,3.4
,Unknown,Female,2639,2556,1746,66.2,3,68.3,3,1412,53.5,3.2,55.3,3.2
,White alone,Unknown,4014,3893,2640,65.8,2.5,67.8,2.5,2176,54.2,2.6,55.9,2.6
,White non-Hispanic alone,Unknown,3808,3783,2601,68.3,2.5,68.7,2.5,2148,56.4,2.6,56.8,2.6
,Black alone,Unknown,814,800,519,63.8,6.7,64.9,6.7,402,49.4,7,50.3,7
,Asian alone,Unknown,132,82,42,B,B,B,B,29,B,B,B,B
,Hispanic (of any race),Unknown,221,125,40,18,13.3,31.8,21.5,27,12.3,11.4,21.7,19
,White alone or in combination,Unknown,4093,3972,2679,65.5,2.4,67.4,2.4,2199,53.7,2.6,55.4,2.6
,Black alone or in combination,Unknown,828,814,525,63.4,6.7,64.5,6.7,404,48.8,6.9,49.7,7
,Asian alone or in combination,Unknown,148,98,48,B,B,B,B,32,B,B,B,B
TEXAS,Total,Unknown,20172,17378,11724,58.1,1.2,67.5,1.2,9626,47.7,1.2,55.4,1.3
,Unknown,Male,9775,8325,5479,56,1.7,65.8,1.7,4465,45.7,1.7,53.6,1.8
,Unknown,Female,10397,9053,6245,60.1,1.6,69,1.6,5162,49.6,1.6,57,1.7
,White alone,Unknown,16095,13909,9306,57.8,1.3,66.9,1.3,7700,47.8,1.3,55.4,1.4
,White non-Hispanic alone,Unknown,9534,9383,6822,71.6,1.5,72.7,1.5,5905,61.9,1.7,62.9,1.7
,Black alone,Unknown,2458,2358,1724,70.2,3.7,73.1,3.7,1349,54.9,4,57.2,4.1
,Asian alone,Unknown,1110,715,418,37.7,6.1,58.5,7.8,338,30.4,5.8,47.3,7.9
,Hispanic (of any race),Unknown,6923,4781,2654,38.3,3.1,55.5,3.8,1938,28,2.8,40.5,3.7
,White alone or in combination,Unknown,16291,14101,9436,57.9,1.3,66.9,1.3,7807,47.9,1.3,55.4,1.4
,Black alone or in combination,Unknown,2576,2473,1812,70.3,3.6,73.3,3.6,1417,55,3.9,57.3,4
,Asian alone or in combination,Unknown,1135,736,440,38.7,6.1,59.7,7.6,356,31.3,5.8,48.3,7.7
UTAH,Total,Unknown,2096,1969,1398,66.7,2.3,71,2.2,1234,58.9,2.4,62.7,2.4
,Unknown,Male,1043,983,700,67.1,3.2,71.3,3.2,613,58.7,3.3,62.4,3.4
,Unknown,Female,1053,986,698,66.3,3.2,70.8,3.2,621,59,3.3,63,3.4
,White alone,Unknown,1955,1852,1339,68.5,2.3,72.3,2.3,1181,60.4,2.4,63.8,2.5
,White non-Hispanic alone,Unknown,1737,1731,1265,72.8,2.3,73,2.3,1115,64.2,2.5,64.4,2.5
,Black alone,Unknown,20,16,8,B,B,B,B,7,B,B,B,B
,Asian alone,Unknown,44,27,19,B,B,B,B,19,B,B,B,B
,Hispanic (of any race),Unknown,245,148,94,38.5,10.7,63.8,13.6,86,35,10.5,58.1,14
,White alone or in combination,Unknown,1977,1874,1348,68.2,2.3,71.9,2.3,1190,60.2,2.4,63.5,2.4
,Black alone or in combination,Unknown,32,27,13,B,B,B,B,12,B,B,B,B
,Asian alone or in combination,Unknown,49,32,19,B,B,B,B,19,B,B,B,B
VERMONT,Total,Unknown,500,488,351,70.2,2.8,71.9,2.8,305,61,3,62.5,3
,Unknown,Male,246,241,166,67.6,4.1,69,4.1,144,58.4,4.3,59.7,4.3
,Unknown,Female,254,248,185,72.8,3.8,74.7,3.8,161,63.6,4.2,65.2,4.2
,White alone,Unknown,468,464,339,72.5,2.8,73,2.8,293,62.7,3.1,63.2,3.1
,White non-Hispanic alone,Unknown,464,460,336,72.4,2.9,73,2.8,290,62.6,3.1,63.1,3.1
,Black alone,Unknown,5,4,2,B,B,B,B,1,B,B,B,B
,Asian alone,Unknown,13,7,4,B,B,B,B,4,B,B,B,B
,Hispanic (of any race),Unknown,5,4,3,B,B,B,B,3,B,B,B,B
,White alone or in combination,Unknown,479,476,344,71.8,2.8,72.3,2.8,298,62.3,3,62.8,3
,Black alone or in combination,Unknown,7,6,3,B,B,B,B,2,B,B,B,B
,Asian alone or in combination,Unknown,15,9,5,B,B,B,B,5,B,B,B,B
VIRGINIA,Total,Unknown,6343,5829,4399,69.4,1.9,75.5,1.9,3973,62.6,2,68.2,2
